date,fund,tkr,amt,unitCnt
2021-07-01,SVF,PFSI,3523.37,57.000000000000
2023-05-24,SVF,fra:HLAG,659.92,3.381169000000
2015-11-30,,szse:002099,1960,100.000000000000
2021-12-15,SVF,hkse:02628,28.65,17.326632000000
2017-07-05,SVF,JPM,2430.98,26.000000000000
2018-05-29,SVF,JPM,4710,43.000000000000
2023-05-22,SVF,PFG,457.93,6.649190000000
2023-05-23,SVF,BCC,114.12,1.519570000000
2023-06-01,SVF,BCC,99.16,1.377990000000
2019-07-23,SVF,T,3685.82,114.000000000000
2020-04-02,SVF,T,863,30.000000000000
2020-05-13,SVF,T,1347.8,46.000000000000
2020-08-14,SVF,T,219.16,7.339585000000
2020-10-13,SVF,T,267.85,9.552425000000
2020-10-21,SVF,T,2352.66,88.048653000000
2021-01-11,SVF,T,702.74,24.443130000000
2017-05-15,SVF,BAC,2011.17,83.000000000000
2020-03-17,SVF,BAC,3765.35,183.000000000000
2023-02-15,SVF,MTH,1403.56,24.791320000000
2023-03-02,SVF,MTH,559.76,10.443280000000
2023-03-09,SVF,TMHC,1173.76,32.043680000000
2023-04-10,SVF,TMHC,183.66,5.048380000000
2023-04-17,SVF,WAL,83.13,2.667840000000
2023-05-04,SVF,WAL,4324.57,206.917230000000
2021-09-17,SVF,RIO,170.57,2.532591000000
2021-10-21,SVF,RIO,215.5,3.282559000000
2021-11-03,SVF,RIO,1064.95,17.196028000000
2021-07-01,SVF,INTC,182.84,3.257438000000
2021-07-26,SVF,INTC,441.77,8.352619000000
2021-08-27,SVF,INTC,678.94,12.807772000000
2021-10-25,SVF,INTC,1110.14,22.440671000000
2022-01-05,SVF,hkse:01186,1843.13,2800.041407000000
2022-01-05,SVF,hkse:00390,1083.21,2074.371110000000
2022-01-06,SVF,hkse:00939,2113.98,2948.400810000000
2022-01-06,SVF,hkse:01288,2387.77,6696.518215000000
2022-01-06,SVF,hkse:01398,2150.04,3725.087619000000
2022-01-06,SVF,hkse:03328,2357.03,3796.771110000000
2022-01-06,SVF,hkse:03988,4041.69,10828.409829000000
2022-01-07,SVF,hkse:00688,118.7,45.956104000000
2018-08-08,SVF,BRK/B,4617.7,22.000000000000
2018-12-20,SVF,BRK/B,3124.6,16.000000000000
2020-05-06,SVF,BRK/B,1608.26,9.000000000000
2021-05-17,SVF,BRK/B,35923.44,124.440349000000
2015-10-13,,shse:513100,881.6,3000.000000000000
2015-12-21,,shse:513100,1418,4500.000000000000
2016-01-26,,shse:513100,725.5,2500.000000000000
2016-02-29,,shse:513100,887,3000.000000000000
2016-04-01,,shse:513100,926,3000.000000000000
2016-05-04,,shse:513100,901.4,3000.000000000000
2016-06-06,,shse:513100,1726.5,5500.000000000000
2016-07-08,,shse:513100,1727.6,5500.000000000000
2016-08-09,,shse:513100,1690,5000.000000000000
2016-09-12,,shse:513100,1685,5000.000000000000
2019-06-12,,shse:513100,811.4,1500.000000000000
2019-07-17,,shse:513100,854.6,1500.000000000000
2019-08-21,,shse:513100,849.5,1500.000000000000
