Index,COIN.Open,COIN.High,COIN.Low,COIN.Close,COIN.Volume,COIN.Adjusted
2021-04-14,381,429.540008544922,310,328.279998779297,81065700,328.279998779297
2021-04-15,348.899993896484,349.200012207031,317.269989013672,322.75,39777900,322.75
2021-04-16,327.5,345.989990234375,321.029998779297,342,22654500,342
2021-04-19,337.260009765625,341.010009765625,326.790008544922,333,11405600,333
2021-04-20,333.429992675781,334.829986572266,312.019989013672,320.820007324219,18082300,320.820007324219
2021-04-21,312.519989013672,327.470001220703,302.100006103516,311.920013427734,10103900,311.920013427734
2021-04-22,305.760009765625,313.5,287.200012207031,293.450012207031,14991900,293.450012207031
2021-04-23,282.75,303,282.070007324219,291.600006103516,9853800,291.600006103516
2021-04-26,304.290008544922,306.100006103516,296.899993896484,304.540008544922,6330200,304.540008544922
2021-04-27,306.700012207031,306.700012207031,299.5,302,3902000,302
2021-04-28,301.010009765625,302.899993896484,298.049987792969,298.049987792969,2746100,298.049987792969
2021-04-29,298.450012207031,300,292.100006103516,294.769989013672,2845800,294.769989013672
2021-04-30,293,302.739990234375,291,297.640014648438,3997400,297.640014648438
2021-05-03,304,305.029998779297,293.940002441406,294.209991455078,3333800,294.209991455078
2021-05-04,292.059997558594,292.190002441406,275.609985351562,280.660003662109,5707700,280.660003662109
2021-05-05,284.950012207031,289.149993896484,269,273,5074600,273
2021-05-06,271.149993896484,272.140014648438,250.509994506836,256.760009765625,8342000,256.760009765625
2021-05-07,261.149993896484,267.070007324219,258.380004882812,263.700012207031,4243700,263.700012207031
2021-05-10,266.399993896484,297.5,259.369995117188,293.450012207031,10268600,293.450012207031
2021-05-11,281.049987792969,303.320007324219,276.510009765625,303,7456000,303
2021-05-12,299.540008544922,306.980010986328,280.790008544922,283.609985351562,7214200,283.609985351562
2021-05-13,276.459991455078,285,252.259994506836,265.100006103516,11226800,265.100006103516
2021-05-14,280.369995117188,280.640014648438,256.350006103516,258.369995117188,11751800,258.369995117188
2021-05-17,250,250.25,238.25,248.240005493164,8828100,248.240005493164
2021-05-18,238.830001831055,252.169998168945,238.5,239,7852100,239
2021-05-19,212.929992675781,229,208,224.800003051758,16766000,224.800003051758
2021-05-20,236.100006103516,238.800003051758,226.259994506836,233.399993896484,10386900,233.399993896484
2021-05-21,235.970001220703,238.970001220703,223.899993896484,224.350006103516,7554900,224.350006103516
2021-05-24,227.279998779297,231,224.039993286133,225.300003051758,10185600,225.300003051758
2021-05-25,230,243.990005493164,228,242.410003662109,11827800,242.410003662109
2021-05-26,247.5,249.389999389648,239.369995117188,241.520004272461,6602800,241.520004272461
2021-05-27,245.210006713867,247.240005493164,240.320007324219,247.089996337891,5083300,247.089996337891
2021-05-28,243.570007324219,244.630004882812,236.539993286133,236.539993286133,5091500,236.539993286133
2021-06-01,238.509994506836,244.710006713867,238.100006103516,238.929992675781,3962700,238.929992675781
2021-06-02,242.800003051758,243.899993896484,238.710006713867,240.479995727539,3383800,240.479995727539
2021-06-03,241.389999389648,241.5,233.5,233.660003662109,3091100,233.660003662109
2021-06-04,229.990005493164,233.360000610352,227.5,228.789993286133,3775100,228.789993286133
2021-06-07,229.919998168945,232.559997558594,226.5,231.449996948242,2658300,231.449996948242
2021-06-08,227.160003662109,229.330001831055,217.399993896484,220.660003662109,6015800,220.660003662109
2021-06-09,222.800003051758,229.789993286133,217.399993896484,224.320007324219,6865900,224.320007324219
2021-06-10,226.220001220703,229.789993286133,221.470001220703,221.850006103516,3955300,221.850006103516
2021-06-11,223.5,225.740005493164,221.960006713867,223.919998168945,2383500,223.919998168945
2021-06-14,231.270004272461,239.759994506836,229.759994506836,239.100006103516,6151700,239.100006103516
2021-06-15,236.229995727539,237.669998168945,230.960006713867,232.210006713867,3007900,232.210006713867
2021-06-16,231.399993896484,234.679992675781,226.279998779297,228.050003051758,2874800,228.050003051758
2021-06-17,226.880004882812,233.229995727539,226.350006103516,230.660003662109,2589600,230.660003662109
2021-06-18,226.919998168945,232.690002441406,226.5,229.289993286133,3265200,229.289993286133
2021-06-21,223.139999389648,224.990005493164,218.770004272461,222.600006103516,4687600,222.600006103516
2021-06-22,216.25,223.149993896484,210.770004272461,222.470001220703,6206100,222.470001220703
2021-06-23,225.539993286133,230.520004272461,224.5,226.009994506836,3394700,226.009994506836
2021-06-24,228.460006713867,230.039993286133,226.669998168945,229.929992675781,2857700,229.929992675781
2021-06-25,226.970001220703,227.820007324219,223.220001220703,224.539993286133,2507000,224.539993286133
2021-06-28,227.639999389648,248.059997558594,226.130004882812,246.690002441406,7449000,246.690002441406
2021-06-29,250.199996948242,261.149993896484,250.009994506836,254.899993896484,7867600,254.899993896484
2021-06-30,248.300003051758,254.669998168945,247,253.300003051758,4143500,253.300003051758
2021-07-01,251.089996337891,255.149993896484,240.529998779297,241.440002441406,3611300,241.440002441406
2021-07-02,242,246.800003051758,238.880004882812,240.720001220703,2325000,240.720001220703
2021-07-06,243,243,234.020004272461,235.410003662109,2212600,235.410003662109
2021-07-07,238.960006713867,252.990005493164,232.339996337891,251.970001220703,4804400,251.970001220703
2021-07-08,239,246.600006103516,233.610000610352,244.289993286133,4350000,244.289993286133
