Index,MC.PA.Open,MC.PA.High,MC.PA.Low,MC.PA.Close,MC.PA.Volume,MC.PA.Adjusted
2015-10-13,162.399993896484,162.600006103516,159.5,161.25,1196339,134.001495361328
2015-10-14,159.399993896484,161.800003051758,157.050003051758,159.25,891550,132.339462280273
2015-10-15,159.850006103516,161.149993896484,156,160.399993896484,904945,133.295120239258
2015-10-16,161,161,157.25,158.649993896484,714985,131.840805053711
2015-10-19,158.600006103516,160.449996948242,157.550003051758,158.899993896484,579570,132.048599243164
2015-10-20,160.199996948242,161,157.649993896484,158.300003051758,683064,131.550033569336
2015-10-21,159.25,159.449996948242,157.399993896484,158.050003051758,703555,131.342300415039
2015-10-22,157.449996948242,165.850006103516,156.550003051758,165.149993896484,1104472,137.242446899414
2015-10-23,167.149993896484,171.350006103516,166.050003051758,170.649993896484,1595903,141.813064575195
2015-10-26,169.949996948242,170.100006103516,167.800003051758,169.149993896484,608005,140.566543579102
2015-10-27,169.300003051758,169.899993896484,168.050003051758,168.5,567237,140.026382446289
2015-10-28,166.899993896484,168.600006103516,166.050003051758,167.699996948242,833020,139.361572265625
2015-10-29,169.149993896484,169.800003051758,167.699996948242,169.050003051758,536243,140.483428955078
2015-10-30,169,169.649993896484,166.649993896484,169.600006103516,643622,140.940521240234
2015-11-02,167.75,169.949996948242,167.600006103516,167.899993896484,590901,139.527770996094
2015-11-03,168.199996948242,169.75,167.5,169.75,567012,141.065155029297
2015-11-04,170,173.350006103516,169.199996948242,172.75,782536,143.558212280273
2015-11-05,172.850006103516,174.300003051758,171.300003051758,173.5,944423,144.181488037109
2015-11-06,169,169.699996948242,164.550003051758,168.75,1521393,140.234146118164
2015-11-09,169.149993896484,169.25,166.800003051758,167.300003051758,613385,139.029190063477
2015-11-10,168.75,168.850006103516,165.899993896484,168.399993896484,704277,139.943283081055
2015-11-11,169.050003051758,173.300003051758,168.75,171.899993896484,654983,142.851837158203
2015-11-12,172,172.300003051758,166.449996948242,166.949996948242,966262,138.738327026367
2015-11-13,166.350006103516,166.350006103516,160.899993896484,162.399993896484,1034096,134.957183837891
2015-11-16,157.5,161.649993896484,156.699996948242,160.149993896484,1143393,133.08740234375
2015-11-17,162,165.949996948242,161.350006103516,165.399993896484,876622,137.450225830078
2015-11-18,164.25,164.600006103516,162.75,163.600006103516,561991,135.954406738281
2015-11-19,165,165.649993896484,161.699996948242,162.399993896484,601636,134.957183837891
2015-11-20,163.550003051758,163.550003051758,161.300003051758,162.25,791366,134.832550048828
2015-11-23,162.5,162.550003051758,160.199996948242,161.899993896484,529089,134.541702270508
2015-11-24,160.100006103516,160.550003051758,152.5,154.949996948242,1818521,128.76611328125
2015-11-25,155.350006103516,159.100006103516,155.350006103516,158,991402,131.300704956055
2015-11-26,158.050003051758,160.199996948242,157.949996948242,159.100006103516,539785,132.214813232422
2015-11-27,158.600006103516,158.75,155.800003051758,155.949996948242,679415,129.597106933594
2015-11-30,156.699996948242,158.75,155.5,158.75,972761,131.92399597168
2015-12-01,157.850006103516,159.399993896484,156.600006103516,157.399993896484,691285,131.923980712891
2015-12-02,157.899993896484,159.850006103516,157.350006103516,158.449996948242,638809,132.80403137207
2015-12-03,158.5,161,151,151.199996948242,1956712,126.72745513916
2015-12-04,152,153.300003051758,150.25,152.25,1320690,127.607528686523
2015-12-07,153.899993896484,155.649993896484,152.850006103516,154.449996948242,716753,129.451446533203
2015-12-08,154.899993896484,154.899993896484,149.399993896484,150.5,1011983,126.140769958496
2015-12-09,151.100006103516,151.649993896484,147.649993896484,148.850006103516,943129,124.757804870605
2015-12-10,147.699996948242,148.800003051758,146.100006103516,148,967547,124.045402526855
2015-12-11,147.5,147.5,143.699996948242,144.949996948242,1238760,121.489082336426
2015-12-14,145.600006103516,146.899993896484,142.100006103516,142.199996948242,1046798,119.184158325195
2015-12-15,143.800003051758,149.050003051758,143.399993896484,147.949996948242,1556323,124.003509521484
2015-12-16,148.899993896484,150.149993896484,146.899993896484,148.649993896484,856163,124.590187072754
2015-12-17,153.399993896484,153.5,148.899993896484,148.899993896484,1205449,124.799690246582
2015-12-18,147.649993896484,147.649993896484,144.149993896484,145,1925953,121.530990600586
2015-12-21,144.149993896484,146.800003051758,142.699996948242,142.699996948242,847538,119.603240966797
2015-12-22,143.649993896484,144.600006103516,141.800003051758,143.800003051758,683988,120.525215148926
2015-12-23,145,146.75,144.350006103516,146.449996948242,730802,122.746292114258
2015-12-24,145.949996948242,146.449996948242,144.649993896484,146.050003051758,105195,122.411033630371
2015-12-28,146.149993896484,146.649993896484,144.100006103516,144.100006103516,285861,120.776641845703
2015-12-29,145.800003051758,147.75,145.449996948242,147.75,517351,123.83585357666
2015-12-30,147.699996948242,148.800003051758,146.350006103516,147.149993896484,424524,123.332992553711
2016-01-04,142.75,142.850006103516,137.75,139.199996948242,1505085,116.669731140137
2016-01-05,141.550003051758,141.600006103516,137.550003051758,139.449996948242,866709,116.879272460938
2016-01-06,138.75,138.75,135.149993896484,136.699996948242,1246279,114.574348449707
2016-01-07,131.550003051758,137.149993896484,130.75,136.600006103516,1658654,114.490570068359
2016-01-08,137.300003051758,139.149993896484,134.850006103516,135.350006103516,1080132,113.442886352539
2016-01-11,135.850006103516,137.75,135.199996948242,135.199996948242,937845,113.317161560059
2016-01-12,136,141.600006103516,135.350006103516,139.449996948242,1027758,116.879272460938
2016-01-13,141.149993896484,141.149993896484,137.050003051758,137.75,901211,115.454399108887
2016-01-14,138.300003051758,139.550003051758,135.449996948242,137,1816270,114.825828552246
2016-01-15,136.699996948242,137.399993896484,134.25,137.399993896484,1781539,115.16104888916
2016-01-18,138.399993896484,140,136.600006103516,136.75,905155,114.616287231445
2016-01-19,140,142.050003051758,139.100006103516,140,1197197,117.340240478516
