Index,SYGEU.JO.Open,SYGEU.JO.High,SYGEU.JO.Low,SYGEU.JO.Close,SYGEU.JO.Volume,SYGEU.JO.Adjusted
2015-10-13,4937,4937,4937,4937,0,4931.16357421875
2015-10-14,4937,4937,4937,4937,0,4931.16357421875
2015-10-15,4885,4885,4885,4885,0,4879.224609375
2015-10-16,4891,4891,4891,4891,0,4885.2177734375
2015-10-19,4926,4926,4926,4926,0,4920.17626953125
2015-10-20,4921,4921,4921,4921,0,4915.1826171875
2015-10-21,5031,5031,5031,5031,0,5025.05224609375
2015-10-22,5054,5054,5054,5054,0,5048.0244140625
2015-10-23,5160,5160,5160,5160,0,5153.89990234375
2015-10-26,5160,5160,5160,5160,0,5153.89990234375
2015-10-27,5126,5126,5126,5126,0,5119.93896484375
2015-10-28,5156,5156,5156,5156,0,5149.90380859375
2015-10-29,5204,5204,5204,5204,0,5197.84619140625
2015-10-30,5237,5237,5237,5237,0,5230.8076171875
2015-11-02,5249,5249,5249,5249,0,5242.79443359375
2015-11-03,5244,5244,5244,5244,0,5237.7998046875
2015-11-04,5232,5232,5232,5232,0,5225.81298828125
2015-11-05,5240,5240,5240,5240,0,5233.8046875
2015-11-06,5312,5312,5312,5312,0,5305.72021484375
2015-11-09,5281,5281,5281,5281,0,5274.75634765625
2015-11-10,5253,5253,5253,5253,0,5246.7890625
2015-11-11,NA,NA,NA,NA,NA,NA
2015-11-12,5274,5274,5274,5274,0,5267.76416015625
2015-11-13,5218,5218,5218,5218,0,5211.83056640625
2015-11-16,5218,5218,5218,5218,0,5211.83056640625
2015-11-17,5269,5269,5269,5269,0,5262.7705078125
2015-11-18,5269,5269,5269,5269,0,5262.7705078125
2015-11-19,5221,5221,5221,5221,0,5214.82763671875
2015-11-20,5159,5159,5159,5159,0,5152.900390625
2015-11-23,5177,5177,5177,5177,0,5170.87939453125
2015-11-24,5101,5101,5101,5101,0,5094.96923828125
2015-11-25,5101,5101,5101,5101,0,5094.96923828125
2015-11-26,5328,5328,5328,5328,0,5321.70068359375
2015-11-27,5325,5325,5325,5325,0,5318.7041015625
2015-11-30,5325,5325,5325,5325,0,5318.7041015625
2015-12-01,5354,5354,5354,5354,0,5347.67041015625
2015-12-02,5303,5303,5303,5303,0,5296.72998046875
2015-12-03,5303,5303,5303,5303,0,5296.72998046875
2015-12-04,5214,5214,5214,5214,0,5207.8349609375
2015-12-07,5335,5335,5335,5335,0,5328.6923828125
2015-12-08,5265,5265,5265,5265,0,5258.7763671875
2015-12-09,5255,5255,5255,5255,0,5248.787109375
2015-12-10,5255,5255,5255,5255,0,5248.787109375
2015-12-11,5669,5669,5669,5669,0,5662.2978515625
