Index,SYGJP.JO.Open,SYGJP.JO.High,SYGJP.JO.Low,SYGJP.JO.Close,SYGJP.JO.Volume,SYGJP.JO.Adjusted
2015-10-13,1026,1026,1026,1026,0,1025.21533203125
2015-10-14,1026,1026,1026,1026,0,1025.21533203125
2015-10-15,1008,1008,1008,1008,0,1007.22924804688
2015-10-16,1010,1010,1010,1010,0,1009.2275390625
2015-10-19,995,995,995,995,0,994.239013671875
2015-10-20,1011,1011,1011,1011,0,1010.22686767578
2015-10-21,1037,1037,1037,1037,0,1036.20678710938
2015-10-22,1046,1046,1046,1046,0,1045.19995117188
2015-10-23,1049,1049,1049,1049,0,1048.19775390625
2015-10-26,1049,1049,1049,1049,0,1048.19775390625
2015-10-27,1066,1066,1066,1066,0,1065.1845703125
2015-10-28,1065,1065,1065,1065,0,1064.18542480469
2015-10-29,1073,1073,1073,1073,0,1072.17932128906
2015-10-30,1087,1087,1087,1087,0,1086.16857910156
2015-11-02,1061,1061,1061,1061,0,1060.18872070312
2015-11-03,1065,1065,1065,1065,0,1064.18542480469
2015-11-04,1068,1068,1068,1068,0,1067.18298339844
2015-11-05,1087,1087,1087,1087,0,1086.16857910156
2015-11-06,1088,1088,1088,1088,0,1087.16796875
2015-11-09,1120,1120,1120,1120,0,1119.14343261719
2015-11-10,1126,1126,1126,1126,0,1125.13879394531
2015-11-11,NA,NA,NA,NA,NA,NA
2015-11-12,1120,1120,1120,1120,0,1119.14343261719
2015-11-13,1125,1125,1125,1125,0,1124.13952636719
2015-11-16,1125,1125,1125,1125,0,1124.13952636719
2015-11-17,1119,1119,1119,1119,0,1118.14428710938
2015-11-18,1119,1119,1119,1119,0,1118.14428710938
2015-11-19,1118,1118,1118,1118,0,1117.14489746094
2015-11-20,1110,1110,1110,1110,0,1109.1513671875
2015-11-23,1112,1112,1112,1112,0,1111.14965820312
2015-11-24,1123,1123,1123,1123,0,1122.14099121094
2015-11-25,1123,1123,1123,1123,0,1122.14099121094
2015-11-26,1130,1130,1130,1130,0,1129.1357421875
2015-11-27,1135,1135,1135,1135,0,1134.13195800781
2015-11-30,1135,1135,1135,1135,0,1134.13195800781
2015-12-01,1139,1139,1139,1139,0,1138.12902832031
2015-12-02,1133,1133,1133,1133,0,1132.13366699219
2015-12-03,1133,1133,1133,1133,0,1132.13366699219
2015-12-04,1119,1119,1119,1119,0,1118.14428710938
2015-12-07,1126,1126,1126,1126,0,1125.13879394531
2015-12-08,1127,1127,1127,1127,0,1126.13818359375
2015-12-09,1126,1126,1126,1126,0,1125.13879394531
2015-12-10,1126,1126,1126,1126,0,1125.13879394531
2015-12-11,1216,1216,1216,1216,0,1215.06994628906
2015-12-14,1216,1216,1216,1216,0,1215.06994628906
2015-12-15,1156,1156,1156,1156,0,1155.1162109375
2015-12-16,NA,NA,NA,NA,NA,NA
2015-12-17,1151,1151,1151,1151,0,1150.11962890625
2015-12-18,1159,1159,1159,1159,0,1158.11352539062
2015-12-21,1160,1160,1160,1160,0,1159.11291503906
2015-12-22,1160,1160,1160,1160,0,1159.11291503906
2015-12-23,1164,1164,1164,1164,0,1163.10986328125
2015-12-24,1164,1164,1164,1164,0,1163.15222167969
2015-12-25,NA,NA,NA,NA,NA,NA
2015-12-28,1166,1166,1166,1166,0,1165.15075683594
2015-12-29,1166,1166,1166,1166,0,1165.15075683594
2015-12-30,1195,1195,1195,1195,0,1194.1298828125
2015-12-31,1195,1195,1195,1195,0,1194.1298828125
2016-01-01,NA,NA,NA,NA,NA,NA
2016-01-04,1197,1197,1197,1197,0,1196.12817382812
2016-01-05,1197,1197,1197,1197,0,1196.12817382812
2016-01-06,1192,1192,1192,1192,0,1191.1318359375
2016-01-07,1201,1201,1201,1201,0,1200.12536621094
2016-01-08,1201,1201,1201,1201,0,1200.12536621094
2016-01-11,1223,1223,1223,1223,0,1222.10925292969
2016-01-12,1200,1200,1200,1200,0,1199.12609863281
2016-01-13,1214,1214,1214,1214,0,1213.11596679688
2016-01-14,1214,1214,1214,1214,0,1213.11596679688
2016-01-15,1189,1189,1189,1189,0,1188.13391113281
2016-01-18,1200,1200,1200,1200,0,1199.12609863281
2016-01-19,1184,1184,1184,1184,0,1183.13793945312
2016-01-20,1164,1164,1164,1164,0,1163.15222167969
2016-01-21,1126,1126,1126,1126,0,1125.17980957031
2016-01-22,1160,1160,1160,1160,0,1159.1552734375
2016-01-25,1170,1170,1170,1170,0,1169.14782714844
2016-01-26,1152,1152,1152,1152,0,1151.1611328125
2016-01-27,1173,1173,1173,1173,0,1172.14575195312
2016-01-28,1149,1149,1149,1149,0,1148.16333007812
2016-01-29,1149,1149,1149,1149,0,1148.16333007812
2016-02-01,1167,1167,1167,1167,0,1166.15014648438
2016-02-02,1167,1167,1167,1167,0,1166.15014648438
2016-02-03,1167,1167,1167,1167,0,1166.15014648438
2016-02-04,1133,1133,1133,1133,0,1132.17504882812
2016-02-05,1121,1121,1121,1121,0,1120.18359375
2016-02-08,1141,1141,1141,1141,0,1140.16918945312
2016-02-09,1099,1099,1099,1099,0,1098.19970703125
2016-02-10,1053,1053,1053,1053,0,1052.23315429688
2016-02-11,1091,1091,1091,1091,0,1090.20544433594
2016-02-12,1013,1013,1013,1013,0,1012.26239013672
2016-02-15,1084,1084,1084,1084,0,1083.21081542969
2016-02-16,1084,1084,1084,1084,0,1083.21081542969
2016-02-17,1071,1071,1071,1071,0,1070.21984863281
2016-02-18,1072,1072,1072,1072,0,1071.21936035156
2016-02-19,1072,1072,1072,1072,0,1071.21936035156
2016-02-22,1064,1064,1064,1064,0,1063.22497558594
2016-02-23,1055,1055,1055,1055,0,1054.23181152344
