Index,VOO.Open,VOO.High,VOO.Low,VOO.Close,VOO.Volume,VOO.Adjusted
2015-10-13,183.979995727539,185.309997558594,183.389999389648,183.570007324219,1022300,155.383117675781
2015-10-14,183.449996948242,184.130004882812,182.389999389648,182.710006713867,1184100,154.655197143555
2015-10-15,183.399993896484,185.490005493164,183.020004272461,185.449996948242,2523100,156.974472045898
2015-10-16,185.919998168945,186.339996337891,185.119995117188,186.199996948242,1241200,157.609298706055
2015-10-19,185.660003662109,186.429992675781,185.309997558594,186.419998168945,768900,157.795486450195
2015-10-20,186.020004272461,186.869995117188,185.699996948242,186.179992675781,1151200,157.592407226562
2015-10-21,186.789993286133,186.809997558594,184.860000610352,184.970001220703,1556900,156.568145751953
2015-10-22,186.020004272461,188.380004882812,185.970001220703,188.169998168945,1498300,159.27685546875
2015-10-23,190,190.630004882812,189.139999389648,190.220001220703,1624300,161.01203918457
2015-10-26,190.110000610352,190.119995117188,189.389999389648,189.770004272461,1150500,160.631118774414
2015-10-27,189.080001831055,189.759994506836,188.649993896484,189.399993896484,1442400,160.317947387695
2015-10-28,189.839996337891,191.600006103516,189.059997558594,191.600006103516,2251900,162.180191040039
2015-10-29,191.039993286133,191.850006103516,190.889999389648,191.529998779297,1779000,162.120941162109
2015-10-30,191.820007324219,192,190.559997558594,190.559997558594,2011600,161.299819946289
2015-11-02,190.979995727539,193.089996337891,190.850006103516,192.820007324219,2403500,163.212814331055
2015-11-03,192.539993286133,194.059997558594,192.279998779297,193.429992675781,3920400,163.72917175293
2015-11-04,193.770004272461,193.899993896484,192.279998779297,192.880004882812,1786700,163.263595581055
2015-11-05,192.990005493164,193.440002441406,191.710006713867,192.639999389648,2185100,163.060440063477
2015-11-06,192.259994506836,192.830001831055,191.119995117188,192.559997558594,2172600,162.992721557617
2015-11-09,191.889999389648,192.009994506836,189.75,190.759994506836,2127800,161.469131469727
2015-11-10,190.259994506836,191.25,189.910003662109,191.119995117188,1257500,161.773818969727
2015-11-11,191.479995727539,191.550003051758,190.389999389648,190.389999389648,1114700,161.155944824219
2015-11-12,189.360000610352,189.809997558594,187.779998779297,187.839996337891,2454900,158.997512817383
2015-11-13,187.350006103516,187.619995117188,185.580001831055,185.669998168945,3224000,157.160705566406
2015-11-16,185.5,188.550003051758,185.360000610352,188.520004272461,1687100,159.573089599609
2015-11-17,188.860000610352,189.789993286133,187.830001831055,188.289993286133,1879900,159.378402709961
2015-11-18,188.910003662109,191.509994506836,188.889999389648,191.320007324219,2858600,161.943145751953
2015-11-19,191.300003051758,191.679992675781,190.899993896484,191.220001220703,2154800,161.858489990234
2015-11-20,192.009994506836,192.660003662109,191.5,191.929992675781,1317600,162.459442138672
2015-11-23,191.889999389648,192.539993286133,191.199996948242,191.710006713867,1308100,162.273223876953
2015-11-24,190.630004882812,192.380004882812,190.179992675781,192.020004272461,1572000,162.53564453125
2015-11-25,192.149993896484,192.309997558594,191.669998168945,191.960006713867,758700,162.48486328125
2015-11-27,192.080001831055,192.380004882812,191.5,192.149993896484,894500,162.645721435547
2015-11-30,192.449996948242,192.470001220703,191.240005493164,191.369995117188,1551000,161.985458374023
2015-12-01,192.050003051758,193.300003051758,191.779998779297,193.220001220703,1812900,163.55143737793
2015-12-02,193.179992675781,193.449996948242,190.919998168945,191.179992675781,1999600,161.824600219727
2015-12-03,191.559997558594,191.75,187.729995727539,188.460006713867,2724400,159.522277832031
2015-12-04,188.990005493164,192.520004272461,188.839996337891,192.160003662109,2900700,162.654144287109
2015-12-07,191.880004882812,191.880004882812,189.979995727539,190.949996948242,1752800,161.629943847656
2015-12-08,189.25,190.720001220703,188.669998168945,189.729995727539,1721700,160.597274780273
2015-12-09,189.119995117188,191.320007324219,187.199996948242,188.309997558594,4500300,159.395355224609
2015-12-10,188.5,190.179992675781,188.100006103516,188.740005493164,4083800,159.759262084961
2015-12-11,186.440002441406,187.149993896484,184.75,184.979995727539,3084400,156.576614379883
2015-12-14,185.320007324219,186.089996337891,183.309997558594,186.089996337891,2722600,157.516189575195
2015-12-15,187.75,188.960006713867,187.529998779297,188.029998779297,3799300,159.158309936523
2015-12-16,189.279998779297,191.080001831055,187.699996948242,190.669998168945,6361700,161.392974853516
2015-12-17,191.139999389648,191.160003662109,187.820007324219,187.889999389648,3096000,159.039840698242
2015-12-18,186.949996948242,187.080001831055,184.399993896484,184.399993896484,4531400,156.085678100586
2015-12-21,184.740005493164,185.070007324219,183.470001220703,184.929992675781,2168400,157.466796875
2015-12-22,185.850006103516,186.889999389648,184.800003051758,186.600006103516,2423300,158.888778686523
2015-12-23,187.75,188.940002441406,187.570007324219,188.839996337891,2275500,160.796127319336
2015-12-24,188.690002441406,189.169998168945,188.339996337891,188.509994506836,1170800,160.515182495117
2015-12-28,187.850006103516,188.179992675781,187,188.100006103516,2668300,160.166076660156
2015-12-29,189.429992675781,190.509994506836,189.339996337891,190.199996948242,1757100,161.954208374023
2015-12-30,189.970001220703,189.990005493164,188.669998168945,188.800003051758,2535800,160.762115478516
2015-12-31,188.119995117188,188.759994506836,186.929992675781,186.929992675781,2395200,159.169830322266
