xchg,tkr,name,sector,industry,tkr_new,cur
hkse,00001,CKH HOLDINGS,NA,NA,hkse:00001,HKD
hkse,00002,CLP HOLDINGS,NA,NA,hkse:00002,HKD
hkse,00003,HK & CHINA GAS,NA,NA,hkse:00003,HKD
hkse,00004,WHARF HOLDINGS,NA,NA,hkse:00004,HKD
hkse,00005,HSBC HOLDINGS,NA,NA,hkse:00005,HKD
hkse,00006,POWER ASSETS,NA,NA,hkse:00006,HKD
hkse,00008,PCCW,NA,NA,hkse:00008,HKD
hkse,00010,HANG LUNG GROUP,NA,NA,hkse:00010,HKD
hkse,00011,HANG SENG BANK,NA,NA,hkse:00011,HKD
hkse,00012,HENDERSON LAND,NA,NA,hkse:00012,HKD
hkse,00013,HUTCHMED,NA,NA,hkse:00013,HKD
hkse,00014,HYSAN DEV,NA,NA,hkse:00014,HKD
hkse,00016,SHK PPT,NA,NA,hkse:00016,HKD
hkse,00017,NEW WORLD DEV,NA,NA,hkse:00017,HKD
hkse,00018,ORIENTAL E H,NA,NA,hkse:00018,HKD
hkse,00019,SWIRE PACIFIC A,NA,NA,hkse:00019,HKD
hkse,00020,SENSETIME-W,NA,NA,hkse:00020,HKD
hkse,00021,GREAT CHI HLDGS,NA,NA,hkse:00021,HKD
hkse,00022,MEXAN,NA,NA,hkse:00022,HKD
hkse,00023,BANK OF E ASIA,NA,NA,hkse:00023,HKD
hkse,00025,CHEVALIER INT'L,NA,NA,hkse:00025,HKD
hkse,00026,CHINA MOTOR BUS,NA,NA,hkse:00026,HKD
hkse,00027,GALAXY ENT,NA,NA,hkse:00027,HKD
hkse,00028,TIAN AN,NA,NA,hkse:00028,HKD
hkse,00029,DYNAMIC HOLD,NA,NA,hkse:00029,HKD
hkse,00030,YNBY INTL,NA,NA,hkse:00030,HKD
hkse,00031,CHINA AEROSPACE,NA,NA,hkse:00031,HKD
hkse,00032,CROSS-HAR(HOLD),NA,NA,hkse:00032,HKD
hkse,00033,INTL GENIUS,NA,NA,hkse:00033,HKD
hkse,00034,KOWLOON DEV,NA,NA,hkse:00034,HKD
hkse,00035,FE CONSORT INTL,NA,NA,hkse:00035,HKD
hkse,00036,FE HLDGS INTL,NA,NA,hkse:00036,HKD
hkse,00037,FE HOTELS,NA,NA,hkse:00037,HKD
hkse,00038,FIRST TRACTOR,NA,NA,hkse:00038,HKD
hkse,00039,CH BEIDAHUANG,NA,NA,hkse:00039,HKD
hkse,00040,GOLD PEAK,NA,NA,hkse:00040,HKD
hkse,00041,GREAT EAGLE H,NA,NA,hkse:00041,HKD
hkse,00042,NE ELECTRIC,NA,NA,hkse:00042,HKD
hkse,00045,HK&S HOTELS,NA,NA,hkse:00045,HKD
hkse,00046,COMPUTER & TECH,NA,NA,hkse:00046,HKD
hkse,00048,C AUTO INT DECO,NA,NA,hkse:00048,HKD
hkse,00050,HK FERRY (HOLD),NA,NA,hkse:00050,HKD
hkse,00051,HARBOUR CENTRE,NA,NA,hkse:00051,HKD
hkse,00052,FAIRWOOD HOLD,NA,NA,hkse:00052,HKD
hkse,00053,GUOCO GROUP,NA,NA,hkse:00053,HKD
hkse,00055,NEWAY GROUP,NA,NA,hkse:00055,HKD
hkse,00057,CHEN HSONG HOLD,NA,NA,hkse:00057,HKD
hkse,00058,SUNWAY INT'L,NA,NA,hkse:00058,HKD
hkse,00059,SKYFAME REALTY,NA,NA,hkse:00059,HKD
hkse,00060,HK FOOD INV,NA,NA,hkse:00060,HKD
hkse,00061,GREEN LEADER,NA,NA,hkse:00061,HKD
hkse,00062,TRANSPORT INT'L,NA,NA,hkse:00062,HKD
hkse,00063,CHI ASIA VALLEY,NA,NA,hkse:00063,HKD
hkse,00064,GET NICE,NA,NA,hkse:00064,HKD
hkse,00065,GRAND OCEAN AR,NA,NA,hkse:00065,HKD
hkse,00066,MTR CORPORATION,NA,NA,hkse:00066,HKD
hkse,00069,SHANGRI-LA ASIA,NA,NA,hkse:00069,HKD
hkse,00070,RICH GOLDMAN,NA,NA,hkse:00070,HKD
hkse,00071,MIRAMAR HOTEL,NA,NA,hkse:00071,HKD
hkse,00072,META MEDIA,NA,NA,hkse:00072,HKD
hkse,00073,ASIAN CITRUS,NA,NA,hkse:00073,HKD
hkse,00075,Y.T. REALTY,NA,NA,hkse:00075,HKD
hkse,00076,ELATE HOLDINGS,NA,NA,hkse:00076,HKD
hkse,00077,AMS TRANSPORT,NA,NA,hkse:00077,HKD
hkse,00078,REGAL INT'L,NA,NA,hkse:00078,HKD
hkse,00079,CENTURY LEGEND,NA,NA,hkse:00079,HKD
hkse,00080,CNEWECON FUND,NA,NA,hkse:00080,HKD
hkse,00081,CH OVS G OCEANS,NA,NA,hkse:00081,HKD
hkse,00082,CRAZY SPORTS,NA,NA,hkse:00082,HKD
hkse,00083,SINO LAND,NA,NA,hkse:00083,HKD
hkse,00084,STELUX HOLDINGS,NA,NA,hkse:00084,HKD
hkse,00085,CE HUADA TECH,NA,NA,hkse:00085,HKD
hkse,00086,SUN HUNG KAI CO,NA,NA,hkse:00086,HKD
hkse,00087,SWIRE PACIFIC B,NA,NA,hkse:00087,HKD
hkse,00088,TAI CHEUNG HOLD,NA,NA,hkse:00088,HKD
hkse,00089,TAI SANG LAND,NA,NA,hkse:00089,HKD
hkse,00090,PUXING ENERGY,NA,NA,hkse:00090,HKD
hkse,00092,CHAMPION TECH,NA,NA,hkse:00092,HKD
hkse,00093,TERMBRAY IND,NA,NA,hkse:00093,HKD
hkse,00094,GREENHEART GP,NA,NA,hkse:00094,HKD
hkse,00095,LVGEM CHINA,NA,NA,hkse:00095,HKD
hkse,00096,YUSEI,NA,NA,hkse:00096,HKD
hkse,00097,HENDERSON INV,NA,NA,hkse:00097,HKD
hkse,00098,XINGFA ALUM,NA,NA,hkse:00098,HKD
hkse,00099,WONG'S INT'L,NA,NA,hkse:00099,HKD
hkse,00101,HANG LUNG PPT,NA,NA,hkse:00101,HKD
hkse,00102,SUMMIT ASCENT,NA,NA,hkse:00102,HKD
hkse,00103,SHOUGANG CENT,NA,NA,hkse:00103,HKD
hkse,00104,ASIA COMM HOLD,NA,NA,hkse:00104,HKD
hkse,00105,ASSO INT HOTELS,NA,NA,hkse:00105,HKD
hkse,00106,LANDSEA MGMT,NA,NA,hkse:00106,HKD
hkse,00107,SICHUAN EXPRESS,NA,NA,hkse:00107,HKD
hkse,00108,GR LIFE STYLE,NA,NA,hkse:00108,HKD
hkse,00110,CHINA FORTUNE,NA,NA,hkse:00110,HKD
hkse,00111,CINDA INTL HLDG,NA,NA,hkse:00111,HKD
hkse,00113,DICKSON CONCEPT,NA,NA,hkse:00113,HKD
hkse,00114,HERALD HOLD,NA,NA,hkse:00114,HKD
hkse,00115,GRAND FIELD GP,NA,NA,hkse:00115,HKD
hkse,00116,CHOW SANG SANG,NA,NA,hkse:00116,HKD
hkse,00117,TIANLI HOLDINGS,NA,NA,hkse:00117,HKD
hkse,00118,COSMOS MACH,NA,NA,hkse:00118,HKD
hkse,00119,POLY PROPERTY,NA,NA,hkse:00119,HKD
hkse,00120,COSMOPOL INT'L,NA,NA,hkse:00120,HKD
hkse,00122,CROCODILE,NA,NA,hkse:00122,HKD
hkse,00123,YUEXIU PROPERTY,NA,NA,hkse:00123,HKD
hkse,00124,GD LAND,NA,NA,hkse:00124,HKD
hkse,00125,SUN HING VISION,NA,NA,hkse:00125,HKD
hkse,00126,CARRIANNA,NA,NA,hkse:00126,HKD
hkse,00127,CHINESE EST H,NA,NA,hkse:00127,HKD
hkse,00129,ASIA STANDARD,NA,NA,hkse:00129,HKD
hkse,00130,MOISELLE INT'L,NA,NA,hkse:00130,HKD
hkse,00131,CHEUK NANG HOLD,NA,NA,hkse:00131,HKD
hkse,00132,HING YIP HLDGS,NA,NA,hkse:00132,HKD
hkse,00133,CHINA MERCHANTS,NA,NA,hkse:00133,HKD
hkse,00135,KUNLUN ENERGY,NA,NA,hkse:00135,HKD
hkse,00136,CHINA RUYI,NA,NA,hkse:00136,HKD
hkse,00137,JINHUI HOLDINGS,NA,NA,hkse:00137,HKD
hkse,00138,CCT FORTIS,NA,NA,hkse:00138,HKD
hkse,00139,CENTRALWEALTHGP,NA,NA,hkse:00139,HKD
hkse,00142,FIRST PACIFIC,NA,NA,hkse:00142,HKD
hkse,00144,CHINA MER PORT,NA,NA,hkse:00144,HKD
hkse,00145,CCIAMFUTURE-NEW,NA,NA,hkse:00145,HKD
hkse,00146,TAI PING CARPET,NA,NA,hkse:00146,HKD
hkse,00147,IB SETTLEMENT,NA,NA,hkse:00147,HKD
hkse,00148,KINGBOARD HLDG,NA,NA,hkse:00148,HKD
hkse,00149,CH AGRI-PROD EX,NA,NA,hkse:00149,HKD
hkse,00151,WANT WANT CHINA,NA,NA,hkse:00151,HKD
hkse,00152,SHENZHEN INT'L,NA,NA,hkse:00152,HKD
hkse,00154,BE ENVIRONMENT,NA,NA,hkse:00154,HKD
hkse,00156,LIPPO CHINA RES,NA,NA,hkse:00156,HKD
hkse,00157,NATURAL BEAUTY,NA,NA,hkse:00157,HKD
hkse,00158,MELBOURNE ENT,NA,NA,hkse:00158,HKD
hkse,00159,BROCKMAN MINING,NA,NA,hkse:00159,HKD
hkse,00160,HON KWOK LAND,NA,NA,hkse:00160,HKD
hkse,00162,CENTURY GINWA,NA,NA,hkse:00162,HKD
hkse,00163,EMPEROR INT'L,NA,NA,hkse:00163,HKD
hkse,00164,CHINA BAOLI TEC,NA,NA,hkse:00164,HKD
hkse,00165,CHINA EB LTD,NA,NA,hkse:00165,HKD
hkse,00166,NEWTIMES ENERGY,NA,NA,hkse:00166,HKD
hkse,00168,TSINGTAO BREW,NA,NA,hkse:00168,HKD
hkse,00169,WANDA HOTEL DEV,NA,NA,hkse:00169,HKD
hkse,00171,SILVER GRANT,NA,NA,hkse:00171,HKD
hkse,00173,K. WAH INT'L,NA,NA,hkse:00173,HKD
hkse,00174,GEMINI INV,NA,NA,hkse:00174,HKD
hkse,00175,GEELY AUTO,NA,NA,hkse:00175,HKD
hkse,00176,SUPERACTIVE GP,NA,NA,hkse:00176,HKD
hkse,00177,JIANGSU EXPRESS,NA,NA,hkse:00177,HKD
hkse,00178,SA SA INT'L,NA,NA,hkse:00178,HKD
hkse,00179,JOHNSON ELEC H,NA,NA,hkse:00179,HKD
hkse,00180,KADER HOLDINGS,NA,NA,hkse:00180,HKD
hkse,00181,FUJIAN HOLDINGS,NA,NA,hkse:00181,HKD
hkse,00182,CONCORD NE,NA,NA,hkse:00182,HKD
hkse,00183,WINFULL GP,NA,NA,hkse:00183,HKD
hkse,00184,KECK SENG INV,NA,NA,hkse:00184,HKD
hkse,00185,ZENSUN ENT,NA,NA,hkse:00185,HKD
hkse,00186,NIMBLE HOLDINGS,NA,NA,hkse:00186,HKD
hkse,00187,JINGCHENG MAC,NA,NA,hkse:00187,HKD
hkse,00188,SUNWAH KINGSWAY,NA,NA,hkse:00188,HKD
hkse,00189,DONGYUE GROUP,NA,NA,hkse:00189,HKD
hkse,00191,LAI SUN INT'L,NA,NA,hkse:00191,HKD
hkse,00193,CAPITAL ESTATE,NA,NA,hkse:00193,HKD
hkse,00194,LIU CHONG HING,NA,NA,hkse:00194,HKD
hkse,00195,GREENTECH INTL,NA,NA,hkse:00195,HKD
hkse,00196,HONGHUA GROUP,NA,NA,hkse:00196,HKD
hkse,00197,HENG TAI,NA,NA,hkse:00197,HKD
hkse,00199,ITC PROPERTIES,NA,NA,hkse:00199,HKD
hkse,00200,MELCO INT'L DEV,NA,NA,hkse:00200,HKD
hkse,00201,MAGNIFICENT,NA,NA,hkse:00201,HKD
hkse,00202,EVERCHINA INT'L,NA,NA,hkse:00202,HKD
hkse,00204,CAPITAL REALM,NA,NA,hkse:00204,HKD
hkse,00205,SEEC MEDIA,NA,NA,hkse:00205,HKD
hkse,00206,CM-ENERGY,NA,NA,hkse:00206,HKD
hkse,00207,JOY CITY PPT,NA,NA,hkse:00207,HKD
hkse,00209,WINSHINE SCI,NA,NA,hkse:00209,HKD
hkse,00210,DAPHNE INT'L,NA,NA,hkse:00210,HKD
hkse,00211,STYLAND HOLD,NA,NA,hkse:00211,HKD
hkse,00212,NANYANG HOLD,NA,NA,hkse:00212,HKD
hkse,00213,NATIONAL ELEC H,NA,NA,hkse:00213,HKD
hkse,00214,ASIA ORIENT,NA,NA,hkse:00214,HKD
